"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"ADTY","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADTEGRITY.COM INTL  INC","USA","Adtegrity.com International, Inc."
"ADVC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADVANT-E CORP","USA","Advant-e Corp."
"ADVOF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ADVA OPTICAL NETWORKING","Germany","ADVA AG Optical Networking"
"ADVT","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADVANTIS CORP","USA","Advantis Corporation"
"ADXRF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ADX ENERGY LTD","Australia","ADX Energy Ltd."
"ADYNF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","ALGAE DYNAMICS CORP","Canada","Algae Dynamics Corp."
"AEBZY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ANADOLU EFES BIRCLK S/ADR","Turkey","Anadolu Efes Biracilik Ve Malt AS"
"AEEI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMERICAN ENVIRNMNTL ENGY","USA","American Environmental Energy, Inc."
"AEEX","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ASIA EQUITY EXCHANGE GRP","Hong Kong","Asia Equity Exchange Group, Inc."
"AEGG","OTC Link","05/02/2017","OTCQB","N","Common Stock","","AMER ENERGY GROUP LTD","USA","American Energy Group, Ltd. (THE)"
"AEGOF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AEGON N.V. ORD","The Netherlands","Aegon N.V."
"AEGXF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AECON GROUP INC","Canada","Aecon Group Inc."
"AELEF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ALPINE ELECTRONICS INC","Japan","Alpine Electronics Inc."
"AELTF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ADACEL TECHS LTD","Australia","Adacel Technologies Ltd."
"AEMC","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ARCHER ENTMT MDA CMNS","Singapore","Archer Entertainment Media Communications, Inc."
"AEMMY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","A2A SPA UNSP/ADR","Italy","A2A SpA"
"AENG","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ADVANCED ENGINE TECHS INC","USA","Advanced Engine Technologies, Inc."
"AEORF","OTC Link","05/02/2017","OTC Pink Current","N","Other Security Type","","ALEO SOLAR AG NAMEN AKT","Germany","Aleo Solar Ag"
"AEPP","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ADVANCED ENVIRO PET PROD","USA","Advanced Environmental Petroleum Producers, Inc."
"AERG","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","APPLIED ENERGETICS INC","USA","Applied Energetics, Inc."
"AERGP","OTC Link","05/02/2017","OTC Pink Current","N","Preferred Stock","","APPLIED ENERGETIC PFD A","USA","Applied Energetics, Inc."
"AERO","OTC Link","05/02/2017","OTCQB","N","Common Stock","","AEROGROW INTL INC","USA","Aero Grow International, Inc."
"AERS","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AERIUS","USA","Aerius"
"AERT","OTC Link","05/02/2017","OTCQB","N","Common Stock","A","ADVANCED ENVRNMT RCYC A","USA","Advanced Environmental Recycling Technologies, Inc."
"AERZY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","PJSC AEROFLOT RUSS S/ADR","Russia","PJSC Aeroflot Russian Airlines"
"AETUF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ARC RESOURCES LTD ORD","Canada","Arc Resources Ltd."
"AEXAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ATOS ORIGIN SA ORD","France","Atos Origin SA"
"AEXAY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ATOS ORIGIN SA UNSP/ADR","France","Atos Origin SA"
